date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:40	461429/461429	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Oct%202021%2017:35:24%20GMT	https://www.techzone10.com/search/label/Smart%20Watch	C:/Users/hasan/Downloads/blogger/www.techzone10.com/search/label/Smart%20Watch.html	(from https://www.techzone10.com/)
17:30:41	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%225309-YvI45zNIx3656GVCan0bfeI8uy0%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	C:/Users/hasan/Downloads/blogger/cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	(from https://www.techzone10.com/)
17:30:41	461228/461228	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Oct%202021%2017:35:24%20GMT	https://www.techzone10.com/search/label/Specs	C:/Users/hasan/Downloads/blogger/www.techzone10.com/search/label/Specs.html	(from https://www.techzone10.com/)
17:30:41	60010/60010	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	C:/Users/hasan/Downloads/blogger/stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	(from https://www.techzone10.com/)
17:30:42	4644/4644	---M--	200	added ('OK')	image/png	etag:%22v139a%22	https://3.bp.blogspot.com/-zP87C2q9yog/UVopoHY30SI/AAAAAAAAE5k/AIyPvrpGLn8/s1600/picture_not_available.png	C:/Users/hasan/Downloads/blogger/3.bp.blogspot.com/-zP87C2q9yog/UVopoHY30SI/AAAAAAAAE5k/AIyPvrpGLn8/s1600/picture_not_available.png	(from https://www.techzone10.com/)
17:30:43	458395/458395	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:44%20GMT	https://www.techzone10.com/megamenu/	C:/Users/hasan/Downloads/blogger/www.techzone10.com/megamenu/index.html	(from https://www.techzone10.com/)
17:30:43	458407/458407	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:45%20GMT	https://www.techzone10.com/default.jpg	C:/Users/hasan/Downloads/blogger/www.techzone10.com/default.3b.delayed	(from https://www.techzone10.com/)
17:30:44	458419/458419	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:46%20GMT	https://www.techzone10.com/hqdefault.jpg	C:/Users/hasan/Downloads/blogger/www.techzone10.com/hqdefault.3c.delayed	(from https://www.techzone10.com/)
17:30:46	458443/458443	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:47%20GMT	https://www.techzone10.com/maxresdefault.jpg	C:/Users/hasan/Downloads/blogger/www.techzone10.com/maxresdefault.3d.delayed	(from https://www.techzone10.com/)
17:30:47	458419/458419	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:49%20GMT	https://www.techzone10.com/mqdefault.jpg	C:/Users/hasan/Downloads/blogger/www.techzone10.com/mqdefault.3e.delayed	(from https://www.techzone10.com/)
17:30:49	458371/458371	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:50%20GMT	https://www.techzone10.com/0.jpg	C:/Users/hasan/Downloads/blogger/www.techzone10.com/0.3f.delayed	(from https://www.techzone10.com/)
17:30:50	157367/157367	---M--	200	added ('OK')	text/javascript	date:Mon,%2011%20Oct%202021%2020:54:26%20GMT	https://www.blogger.com/static/v1/widgets/3210581208-widgets.js	C:/Users/hasan/Downloads/blogger/www.blogger.com/static/v1/widgets/3210581208-widgets.js	(from https://www.techzone10.com/)
17:30:51	458425/458425	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:52%20GMT	https://www.techzone10.com/p/grabbing.png	C:/Users/hasan/Downloads/blogger/www.techzone10.com/p/grabbing.41.delayed	(from https://www.techzone10.com/p/contact-us_13.html)
17:30:52	17305/17305	---M--	200	added ('OK')	text/javascript	date:Sat,%2009%20Oct%202021%2004:52:16%20GMT	https://www.blogger.com/static/v1/jsbin/186635561-comment_from_post_iframe.js	C:/Users/hasan/Downloads/blogger/www.blogger.com/static/v1/jsbin/186635561-comment_from_post_iframe.js	(from https://www.techzone10.com/p/contact-us_13.html)
17:30:52	458407/458407	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:54%20GMT	https://www.techzone10.com/p/megamenu/	C:/Users/hasan/Downloads/blogger/www.techzone10.com/p/megamenu/index.html	(from https://www.techzone10.com/p/contact-us_13.html)
17:30:53	1325/1325	---MCZ	200	added ('OK')	application/atom+xml	date:Mon,%2027%20Sep%202021%2011:52:13%20GMT	https://www.techzone10.com/feeds/1156399258725867580/comments/default	C:/Users/hasan/Downloads/blogger/www.techzone10.com/feeds/1156399258725867580/comments/default	(from https://www.techzone10.com/2021/10/how-to-watch-naruto-shippuden-dub-for.html)
17:30:54	458461/458461	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:56%20GMT	https://www.techzone10.com/2021/10/grabbing.png	C:/Users/hasan/Downloads/blogger/www.techzone10.com/2021/10/grabbing.44.delayed	(from https://www.techzone10.com/2021/10/how-to-watch-naruto-shippuden-dub-for.html)
17:30:55	455736/455736	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Oct%202021%2017:35:24%20GMT	https://www.techzone10.com/p/how-to-watch-naruto-shippuden-dub-for.html	C:/Users/hasan/Downloads/blogger/www.techzone10.com/p/how-to-watch-naruto-shippuden-dub-for.html	(from https://www.techzone10.com/2021/10/how-to-watch-naruto-shippuden-dub-for.html)
17:30:56	1325/1325	---MCZ	200	added ('OK')	application/atom+xml	date:Mon,%2027%20Sep%202021%2011:52:13%20GMT	https://www.techzone10.com/feeds/3849576275422503247/comments/default	C:/Users/hasan/Downloads/blogger/www.techzone10.com/feeds/3849576275422503247/comments/default	(from https://www.techzone10.com/2021/10/how-to-watch-squid-games-for-free_8.html)
17:30:56	458443/458443	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:30:58%20GMT	https://www.techzone10.com/2021/10/megamenu/	C:/Users/hasan/Downloads/blogger/www.techzone10.com/2021/10/megamenu/index.html	(from https://www.techzone10.com/2021/10/how-to-watch-naruto-shippuden-dub-for.html)
17:30:57	455799/455799	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Oct%202021%2017:35:24%20GMT	https://www.techzone10.com/p/how-to-watch-squid-games-for-free.html	C:/Users/hasan/Downloads/blogger/www.techzone10.com/p/how-to-watch-squid-games-for-free.html	(from https://www.techzone10.com/2021/10/how-to-watch-squid-games-for-free_8.html)
17:30:58	1325/1325	---MCZ	200	added ('OK')	application/atom+xml	date:Mon,%2027%20Sep%202021%2011:52:13%20GMT	https://www.techzone10.com/feeds/7573544508237969256/comments/default	C:/Users/hasan/Downloads/blogger/www.techzone10.com/feeds/7573544508237969256/comments/default	(from https://www.techzone10.com/2021/10/how-to-watch-bridgerton-in-english-for.html)
